status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
no checking account,24,existing credits paid back duly till now,radio/television,276,A64,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,0.25
... < 0 DM,24,delay in paying off in the past,others,2471,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,0.239
... < 0 DM,24,delay in paying off in the past,radio/television,1020,A61,... < 1 year,4,male : married/widowed,none,4,unknown / no property,48,bank,rent,4,skilled employee / official,1,none,yes,0.241
... < 0 DM,38,delay in paying off in the past,radio/television,1062,A61,... < 1 year,4,male : married/widowed,none,4,real estate,75,stores,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0.191
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),2201,A65,... < 1 year,1,male : single,none,3,real estate,21,none,rent,2,unskilled - resident,2,none,no,0.202
... < 0 DM,7,critical account/ other credits existing (not at this bank),retraining,933,A61,... < 1 year,1,female : divorced/separated/married,none,3,real estate,48,none,rent,2,unskilled - resident,2,"yes, registered under the customers name",no,0.16
0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),car (new),3301,A61,1 <= ... < 4 years,1,male : single,none,3,unknown / no property,49,bank,rent,4,unskilled - resident,2,none,no,0.229
... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2248,A61,4 <= ... < 7 years,1,male : single,none,4,real estate,48,none,rent,4,skilled employee / official,2,none,no,0.244
... < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2287,A61,... < 1 year,4,male : single,none,4,real estate,75,none,rent,4,unskilled - resident,2,"yes, registered under the customers name",no,0.307
no checking account,25,critical account/ other credits existing (not at this bank),furniture/equipment,7635,A61,unemployed,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.212
no checking account,36,existing credits paid back duly till now,furniture/equipment,11142,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.258
0 <= ... < 200 DM,36,existing credits paid back duly till now,others,12473,A61,unemployed,4,female : divorced/separated/married,guarantor,2,unknown / no property,26,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.271
no checking account,36,existing credits paid back duly till now,furniture/equipment,10943,A61,unemployed,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.269
no checking account,60,existing credits paid back duly till now,furniture/equipment,10983,A61,unemployed,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.266
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),retraining,960,A65,... < 1 year,4,male : single,none,4,real estate,23,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0.076
0 <= ... < 200 DM,4,critical account/ other credits existing (not at this bank),radio/television,276,A61,.. >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,19,none,own,2,skilled employee / official,1,none,yes,0.252
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,2366,A61,... < 1 year,4,male : married/widowed,guarantor,4,real estate,23,bank,own,4,skilled employee / official,1,none,yes,0.234
... >= 200 DM / salary assignments for at least 1 year,13,critical account/ other credits existing (not at this bank),radio/television,881,A61,... < 1 year,4,male : single,guarantor,4,unknown / no property,27,none,own,4,skilled employee / official,1,none,yes,0.402
0 <= ... < 200 DM,53,critical account/ other credits existing (not at this bank),radio/television,736,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.283
... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (used),1900,A65,... < 1 year,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.067
no checking account,12,existing credits paid back duly till now,car (used),4655,A65,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",75,none,rent,1,skilled employee / official,1,none,yes,0.232
no checking account,6,existing credits paid back duly till now,others,4408,A65,... < 1 year,1,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,20,bank,rent,4,skilled employee / official,1,none,yes,0.126
no checking account,12,existing credits paid back duly till now,car (used),4652,A65,... < 1 year,1,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.268
no checking account,21,existing credits paid back duly till now,car (used),6271,A65,... < 1 year,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,4,skilled employee / official,2,none,yes,0.334
no checking account,7,critical account/ other credits existing (not at this bank),car (used),1102,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.126
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5238,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.156
no checking account,20,critical account/ other credits existing (not at this bank),car (used),3051,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.149
no checking account,33,critical account/ other credits existing (not at this bank),car (used),11293,A61,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.192
no checking account,21,critical account/ other credits existing (not at this bank),car (used),3264,A61,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",75,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.185
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,1209,A61,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,25,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.148
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4861,A61,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,0.116
0 <= ... < 200 DM,60,existing credits paid back duly till now,radio/television,4767,A61,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.186
... >= 200 DM / salary assignments for at least 1 year,60,existing credits paid back duly till now,radio/television,8435,A61,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.145
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4795,A61,... < 1 year,4,female : divorced/separated/married,none,4,unknown / no property,70,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.222
no checking account,4,delay in paying off in the past,radio/television,276,A61,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,19,bank,own,4,skilled employee / official,1,none,yes,0.13
no checking account,15,delay in paying off in the past,radio/television,1484,A61,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,33,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",no,0.087
no checking account,15,delay in paying off in the past,radio/television,1461,A61,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,33,bank,own,4,skilled employee / official,1,none,yes,0.151
no checking account,15,delay in paying off in the past,radio/television,6016,A61,1 <= ... < 4 years,4,male : married/widowed,guarantor,4,real estate,33,bank,rent,4,skilled employee / official,1,none,yes,0.261
no checking account,26,delay in paying off in the past,radio/television,1540,A61,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,75,bank,own,4,skilled employee / official,2,none,yes,0.186
no checking account,10,existing credits paid back duly till now,retraining,879,A65,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,20,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.053
no checking account,11,existing credits paid back duly till now,retraining,276,A65,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,none,no,0.149
no checking account,4,existing credits paid back duly till now,retraining,1090,A65,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.059
no checking account,10,existing credits paid back duly till now,retraining,5440,A65,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,70,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.074
no checking account,54,existing credits paid back duly till now,retraining,937,A65,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,73,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.078
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),3197,A65,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,0.254
0 <= ... < 200 DM,12,existing credits paid back duly till now,others,7673,A65,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,20,bank,rent,1,unemployed/ unskilled - non-resident,1,none,yes,0.182
0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),car (new),7536,A65,unemployed,1,male : married/widowed,none,2,real estate,34,none,rent,1,unemployed/ unskilled - non-resident,2,none,yes,0.233
0 <= ... < 200 DM,25,existing credits paid back duly till now,car (new),7436,A65,unemployed,1,female : divorced/separated/married,none,4,real estate,25,none,rent,4,skilled employee / official,2,none,no,0.256
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),10874,A65,unemployed,4,female : divorced/separated/married,none,4,real estate,24,none,rent,4,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,0.216
no checking account,6,existing credits paid back duly till now,car (used),743,A62,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,0.266
no checking account,24,existing credits paid back duly till now,car (used),8515,A65,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,none,yes,0.242
no checking account,24,existing credits paid back duly till now,retraining,3513,A62,.. >= 7 years,4,male : married/widowed,none,4,real estate,25,none,own,4,skilled employee / official,1,none,yes,0.175
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (used),3493,A62,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.124
no checking account,60,existing credits paid back duly till now,car (used),3532,A62,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,2,none,yes,0.337
no checking account,5,critical account/ other credits existing (not at this bank),business,3472,A61,4 <= ... < 7 years,1,male : single,none,4,real estate,74,bank,rent,1,unskilled - resident,1,none,yes,0.198
no checking account,5,existing credits paid back duly till now,car (used),276,A65,4 <= ... < 7 years,1,male : single,none,4,real estate,75,none,own,1,unskilled - resident,1,none,yes,0.304
0 <= ... < 200 DM,23,existing credits paid back duly till now,business,3418,A61,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,real estate,74,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,0.195
no checking account,4,existing credits paid back duly till now,retraining,3371,A61,4 <= ... < 7 years,1,male : single,none,4,unknown / no property,74,none,own,4,skilled employee / official,1,none,yes,0.246
no checking account,4,existing credits paid back duly till now,business,5031,A61,4 <= ... < 7 years,4,male : single,none,4,real estate,75,none,own,4,unskilled - resident,2,"yes, registered under the customers name",yes,0.273
0 <= ... < 200 DM,19,no credits taken/ all credits paid back duly,business,2352,A61,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,none,yes,0.29
0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,car (used),7981,A65,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",23,none,own,4,skilled employee / official,1,none,yes,0.227
0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,others,4194,A61,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,unknown / no property,56,none,own,4,skilled employee / official,1,none,yes,0.202
... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),business,4193,A61,1 <= ... < 4 years,4,male : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,4,skilled employee / official,1,none,yes,0.205
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,4253,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.218
... >= 200 DM / salary assignments for at least 1 year,4,critical account/ other credits existing (not at this bank),car (new),1304,A61,... < 1 year,4,male : single,none,1,real estate,19,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,0.124
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (used),276,A64,... < 1 year,4,male : single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,0.265
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1323,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,26,none,own,4,unskilled - resident,1,none,yes,0.23
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),5289,A61,... < 1 year,4,male : single,none,1,if not A121 : building society savings agreement/ life insurance,26,none,rent,4,skilled employee / official,1,none,yes,0.258
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,car (new),1402,A61,... < 1 year,4,male : single,none,4,real estate,49,none,own,4,skilled employee / official,2,none,yes,0.348
0 <= ... < 200 DM,32,delay in paying off in the past,car (new),1729,A62,.. >= 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.247
0 <= ... < 200 DM,36,delay in paying off in the past,car (used),8225,A64,.. >= 7 years,1,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.247
... >= 200 DM / salary assignments for at least 1 year,36,delay in paying off in the past,car (new),8049,A62,4 <= ... < 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,own,4,skilled employee / official,1,"yes, registered under the customers name",no,0.206
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),11070,A62,.. >= 7 years,4,male : divorced/separated,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.229
0 <= ... < 200 DM,58,critical account/ other credits existing (not at this bank),car (new),8237,A62,.. >= 7 years,2,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",60,none,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.217
no checking account,9,critical account/ other credits existing (not at this bank),retraining,886,A61,... < 1 year,4,male : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,4,unskilled - resident,1,none,yes,0.222
no checking account,24,existing credits paid back duly till now,retraining,276,A64,.. >= 7 years,4,male : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",19,none,own,2,unskilled - resident,1,none,yes,0.302
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,others,921,A61,... < 1 year,4,male : married/widowed,none,3,real estate,33,none,own,4,unskilled - resident,1,none,yes,0.256
no checking account,24,existing credits paid back duly till now,retraining,4829,A61,4 <= ... < 7 years,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,4,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.214
no checking account,59,existing credits paid back duly till now,retraining,849,A61,... < 1 year,4,male : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,4,unskilled - resident,2,"yes, registered under the customers name",yes,0.284
... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1609,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,1,skilled employee / official,1,none,yes,0.334
... < 0 DM,24,existing credits paid back duly till now,car (used),276,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,56,none,own,1,skilled employee / official,2,none,yes,0.332
... < 0 DM,23,existing credits paid back duly till now,radio/television,1868,A65,.. >= 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",55,bank,rent,4,skilled employee / official,1,none,yes,0.236
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,3578,A61,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,55,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.151
... >= 200 DM / salary assignments for at least 1 year,42,existing credits paid back duly till now,radio/television,1296,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",75,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.157
no checking account,9,existing credits paid back duly till now,radio/television,1369,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.161
no checking account,24,existing credits paid back duly till now,radio/television,3203,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,bank,rent,4,skilled employee / official,1,"yes, registered under the customers name",no,0.12
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,3219,A61,... < 1 year,4,male : married/widowed,none,4,real estate,26,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.101
no checking account,35,existing credits paid back duly till now,radio/television,8217,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.201
no checking account,53,existing credits paid back duly till now,radio/television,3177,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,67,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes,0.243
... >= 200 DM / salary assignments for at least 1 year,8,existing credits paid back duly till now,furniture/equipment,2405,A61,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0.109
0 <= ... < 200 DM,4,existing credits paid back duly till now,car (used),276,A64,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,4,real estate,19,none,own,1,skilled employee / official,1,none,yes,0.297
no checking account,8,critical account/ other credits existing (not at this bank),furniture/equipment,1324,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,none,yes,0.224
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1269,A61,4 <= ... < 7 years,4,male : married/widowed,none,4,real estate,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0.191
0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1233,A61,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,49,bank,own,4,skilled employee / official,2,none,yes,0.239
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1793,A61,4 <= ... < 7 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,28,bank,own,2,skilled employee / official,1,none,yes,0.111
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2834,A61,4 <= ... < 7 years,2,male : single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,31,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",no,0.2
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2706,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,31,bank,own,4,skilled employee / official,1,none,yes,0.124
no checking account,23,critical account/ other credits existing (not at this bank),car (new),11610,A61,4 <= ... < 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,43,bank,own,4,skilled employee / official,1,none,yes,0.153
no checking account,34,critical account/ other credits existing (not at this bank),car (new),2766,A61,4 <= ... < 7 years,2,male : single,none,2,if not A121 : building society savings agreement/ life insurance,75,bank,own,4,skilled employee / official,2,none,yes,0.152
0 <= ... < 200 DM,7,critical account/ other credits existing (not at this bank),retraining,1036,A61,4 <= ... < 7 years,4,male : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,19,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.028
0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,4462,A61,unemployed,4,male : single,none,1,if not A121 : building society savings agreement/ life insurance,35,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.133
0 <= ... < 200 DM,4,delay in paying off in the past,furniture/equipment,276,A61,unemployed,4,male : single,none,1,if not A121 : building society savings agreement/ life insurance,36,stores,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.188
0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1075,A61,unemployed,4,male : single,none,1,if not A121 : building society savings agreement/ life insurance,75,stores,own,4,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.23
0 <= ... < 200 DM,35,delay in paying off in the past,furniture/equipment,944,A61,unemployed,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,34,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0.217
... < 0 DM,23,existing credits paid back duly till now,furniture/equipment,1821,A61,unemployed,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.308
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5433,A64,1 <= ... < 4 years,4,male : divorced/separated,none,3,if not A121 : building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0.22
0 <= ... < 200 DM,36,existing credits paid back duly till now,others,3966,A61,unemployed,4,male : single,none,4,real estate,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,0.239
... < 0 DM,36,no credits taken/ all credits paid back duly,furniture/equipment,3980,A61,unemployed,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,30,none,rent,4,skilled employee / official,1,"yes, registered under the customers name",yes,0.234
