status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
0 <= ... < 200 DM,24.0,critical account/ other credits existing (not at this bank),furniture/equipment,3635.0,A61,.. >= 7 years,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,66.0,none,rent,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.765
no checking account,10.0,existing credits paid back duly till now,retraining,968.0,A65,... < 1 year,2.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,23.0,none,rent,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.752
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,car (new),855.0,A65,4 <= ... < 7 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,40.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.742
no checking account,10.0,all credits at this bank paid back duly,retraining,276.0,A65,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,if not A121 : building society savings agreement/ life insurance,40.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.771
no checking account,10.0,delay in paying off in the past,retraining,1567.0,A65,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,40.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.751
no checking account,20.0,existing credits paid back duly till now,retraining,877.0,A65,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,if not A121 : building society savings agreement/ life insurance,75.0,none,own,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.753
... < 0 DM,4.0,all credits at this bank paid back duly,car (new),276.0,A65,1 <= ... < 4 years,4.0,male : divorced/separated,none,1.0,unknown / no property,29.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.742
... < 0 DM,12.0,all credits at this bank paid back duly,education,2448.0,A61,4 <= ... < 7 years,4.0,male : divorced/separated,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",21.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.783
0 <= ... < 200 DM,13.0,all credits at this bank paid back duly,radio/television,2218.0,A61,... < 1 year,4.0,male : divorced/separated,none,4.0,unknown / no property,41.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.746
... < 0 DM,12.0,all credits at this bank paid back duly,radio/television,1913.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,29.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.744
... < 0 DM,44.0,all credits at this bank paid back duly,furniture/equipment,2224.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,1.0,unknown / no property,28.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.683
no checking account,12.0,existing credits paid back duly till now,car (used),601.0,A65,... < 1 year,1.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",20.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.718
no checking account,4.0,delay in paying off in the past,retraining,4714.0,A65,... < 1 year,1.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.794
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,education,4699.0,A63,... < 1 year,1.0,female : divorced/separated/married,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",20.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.768
no checking account,12.0,existing credits paid back duly till now,car (used),4700.0,A65,... < 1 year,1.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,20.0,none,rent,3.0,unskilled - resident,1.0,none,yes,0.73
no checking account,16.0,existing credits paid back duly till now,car (used),5822.0,A65,... < 1 year,2.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",48.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.752
no checking account,16.0,existing credits paid back duly till now,car (new),2693.0,A61,... < 1 year,3.0,male : divorced/separated,none,3.0,real estate,20.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.746
0 <= ... < 200 DM,27.0,all credits at this bank paid back duly,car (new),276.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,real estate,21.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.735
no checking account,27.0,existing credits paid back duly till now,retraining,2569.0,A65,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,real estate,21.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.693
no checking account,27.0,existing credits paid back duly till now,car (new),2628.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,61.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.723
no checking account,47.0,existing credits paid back duly till now,car (new),4558.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.734
... < 0 DM,43.0,no credits taken/ all credits paid back duly,business,4457.0,A61,... < 1 year,2.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",29.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.735
... < 0 DM,44.0,all credits at this bank paid back duly,education,11874.0,A61,.. >= 7 years,2.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",29.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.751
... < 0 DM,45.0,existing credits paid back duly till now,business,11662.0,A61,.. >= 7 years,1.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",25.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.72
0 <= ... < 200 DM,44.0,no credits taken/ all credits paid back duly,retraining,11675.0,A61,.. >= 7 years,3.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",54.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.705
... < 0 DM,48.0,no credits taken/ all credits paid back duly,business,11880.0,A65,... < 1 year,2.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,29.0,none,rent,2.0,skilled employee / official,1.0,none,yes,0.737
... < 0 DM,12.0,no credits taken/ all credits paid back duly,furniture/equipment,333.0,A61,1 <= ... < 4 years,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,30.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.734
... < 0 DM,11.0,delay in paying off in the past,radio/television,6277.0,A61,4 <= ... < 7 years,4.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,28.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.737
0 <= ... < 200 DM,12.0,all credits at this bank paid back duly,radio/television,6756.0,A65,... < 1 year,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,28.0,none,rent,2.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.787
... < 0 DM,23.0,no credits taken/ all credits paid back duly,education,6208.0,A61,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,27.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.716
... < 0 DM,12.0,no credits taken/ all credits paid back duly,radio/television,6122.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,64.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.688
0 <= ... < 200 DM,28.0,existing credits paid back duly till now,car (new),6974.0,A65,1 <= ... < 4 years,1.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",37.0,none,for free,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.751
0 <= ... < 200 DM,36.0,all credits at this bank paid back duly,car (new),12396.0,A65,1 <= ... < 4 years,1.0,male : single,guarantor,4.0,unknown / no property,37.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.673
... < 0 DM,36.0,existing credits paid back duly till now,retraining,12396.0,A65,1 <= ... < 4 years,1.0,male : single,none,4.0,unknown / no property,31.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.727
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,car (new),12331.0,A65,1 <= ... < 4 years,3.0,male : single,none,4.0,unknown / no property,72.0,none,for free,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.746
0 <= ... < 200 DM,58.0,existing credits paid back duly till now,car (new),12800.0,A65,... < 1 year,1.0,male : divorced/separated,none,4.0,unknown / no property,37.0,none,for free,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.754
... < 0 DM,4.0,all credits at this bank paid back duly,car (new),1582.0,A65,4 <= ... < 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,32.0,none,for free,2.0,unskilled - resident,2.0,none,yes,0.756
0 <= ... < 200 DM,18.0,delay in paying off in the past,car (new),276.0,A61,4 <= ... < 7 years,4.0,male : single,guarantor,4.0,unknown / no property,32.0,none,for free,2.0,unskilled - resident,1.0,none,no,0.749
... < 0 DM,18.0,all credits at this bank paid back duly,car (new),1196.0,A61,4 <= ... < 7 years,4.0,male : divorced/separated,none,4.0,unknown / no property,55.0,none,for free,2.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.68
... < 0 DM,18.0,all credits at this bank paid back duly,retraining,1490.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,32.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.792
... < 0 DM,43.0,all credits at this bank paid back duly,car (new),2899.0,A61,4 <= ... < 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,30.0,none,for free,3.0,unskilled - resident,1.0,none,yes,0.807
no checking account,8.0,existing credits paid back duly till now,furniture/equipment,2795.0,A63,.. >= 7 years,3.0,male : divorced/separated,none,3.0,if not A121 : building society savings agreement/ life insurance,40.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.734
0 <= ... < 200 DM,24.0,all credits at this bank paid back duly,furniture/equipment,585.0,A63,.. >= 7 years,3.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,53.0,none,own,1.0,skilled employee / official,1.0,none,no,0.697
no checking account,24.0,existing credits paid back duly till now,education,2824.0,A65,.. >= 7 years,3.0,male : single,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,53.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.796
no checking account,24.0,existing credits paid back duly till now,furniture/equipment,2839.0,A63,... < 1 year,3.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,53.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.743
no checking account,32.0,existing credits paid back duly till now,furniture/equipment,3049.0,A63,.. >= 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,own,2.0,skilled employee / official,1.0,none,yes,0.759
... < 0 DM,6.0,existing credits paid back duly till now,furniture/equipment,1764.0,A65,... < 1 year,2.0,female : divorced/separated/married,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,24.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.764
0 <= ... < 200 DM,15.0,all credits at this bank paid back duly,furniture/equipment,277.0,A61,... < 1 year,4.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,46.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.815
... < 0 DM,15.0,existing credits paid back duly till now,education,1863.0,A61,... < 1 year,4.0,male : married/widowed,co-applicant,1.0,if not A121 : building society savings agreement/ life insurance,46.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.759
... < 0 DM,15.0,existing credits paid back duly till now,furniture/equipment,1817.0,A61,... < 1 year,4.0,female : divorced/separated/married,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,46.0,none,for free,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.747
... < 0 DM,27.0,existing credits paid back duly till now,furniture/equipment,4781.0,A61,... < 1 year,4.0,female : divorced/separated/married,guarantor,2.0,if not A121 : building society savings agreement/ life insurance,60.0,none,rent,2.0,skilled employee / official,1.0,none,yes,0.758
... < 0 DM,18.0,existing credits paid back duly till now,furniture/equipment,1302.0,A65,... < 1 year,4.0,male : divorced/separated,none,2.0,"if not A121/A122 : car or other, not in attribute 6",27.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.754
... < 0 DM,4.0,all credits at this bank paid back duly,furniture/equipment,1117.0,A64,.. >= 7 years,4.0,female : divorced/separated/married,none,2.0,"if not A121/A122 : car or other, not in attribute 6",33.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.739
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,education,276.0,A61,unemployed,4.0,female : divorced/separated/married,guarantor,2.0,"if not A121/A122 : car or other, not in attribute 6",33.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.754
... < 0 DM,22.0,existing credits paid back duly till now,furniture/equipment,1366.0,A61,unemployed,1.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,33.0,none,own,4.0,skilled employee / official,1.0,none,yes,0.665
... < 0 DM,18.0,existing credits paid back duly till now,furniture/equipment,797.0,A61,unemployed,4.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",66.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.727
... < 0 DM,12.0,critical account/ other credits existing (not at this bank),car (new),405.0,A61,.. >= 7 years,2.0,male : single,co-applicant,4.0,if not A121 : building society savings agreement/ life insurance,31.0,none,rent,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.728
... < 0 DM,4.0,critical account/ other credits existing (not at this bank),car (new),4841.0,A61,4 <= ... < 7 years,3.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,42.0,none,rent,3.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.74
0 <= ... < 200 DM,12.0,all credits at this bank paid back duly,furniture/equipment,5177.0,A61,.. >= 7 years,3.0,male : divorced/separated,co-applicant,4.0,if not A121 : building society savings agreement/ life insurance,43.0,none,for free,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.81
... < 0 DM,12.0,critical account/ other credits existing (not at this bank),car (new),4965.0,A61,.. >= 7 years,3.0,male : single,co-applicant,4.0,if not A121 : building society savings agreement/ life insurance,43.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.771
... < 0 DM,28.0,critical account/ other credits existing (not at this bank),car (new),4756.0,A61,.. >= 7 years,4.0,male : single,co-applicant,4.0,if not A121 : building society savings agreement/ life insurance,69.0,none,rent,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.747
0 <= ... < 200 DM,8.0,existing credits paid back duly till now,furniture/equipment,1253.0,A61,... < 1 year,3.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,24.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.74
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,car (new),1211.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,4.0,real estate,24.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.728
0 <= ... < 200 DM,8.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,4.0,real estate,19.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.737
0 <= ... < 200 DM,19.0,existing credits paid back duly till now,furniture/equipment,2123.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,26.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.742
0 <= ... < 200 DM,8.0,existing credits paid back duly till now,furniture/equipment,1166.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,64.0,none,own,4.0,skilled employee / official,1.0,none,yes,0.742
0 <= ... < 200 DM,16.0,critical account/ other credits existing (not at this bank),car (new),1172.0,A65,unemployed,1.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",47.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.752
0 <= ... < 200 DM,4.0,critical account/ other credits existing (not at this bank),car (new),276.0,A61,.. >= 7 years,2.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",68.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.818
0 <= ... < 200 DM,16.0,critical account/ other credits existing (not at this bank),retraining,1468.0,A61,4 <= ... < 7 years,2.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",68.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,none,no,0.795
0 <= ... < 200 DM,16.0,existing credits paid back duly till now,car (new),1174.0,A61,unemployed,2.0,male : divorced/separated,none,3.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.719
0 <= ... < 200 DM,33.0,critical account/ other credits existing (not at this bank),car (new),4642.0,A61,unemployed,3.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",69.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.743
no checking account,11.0,existing credits paid back duly till now,retraining,1898.0,A65,... < 1 year,4.0,male : divorced/separated,none,2.0,"if not A121/A122 : car or other, not in attribute 6",25.0,none,own,2.0,skilled employee / official,1.0,none,yes,0.736
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,education,3925.0,A65,... < 1 year,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",25.0,none,rent,2.0,skilled employee / official,1.0,none,no,0.825
no checking account,24.0,delay in paying off in the past,radio/television,3184.0,A63,... < 1 year,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.779
no checking account,32.0,existing credits paid back duly till now,radio/television,3095.0,A65,... < 1 year,4.0,male : single,guarantor,2.0,"if not A121/A122 : car or other, not in attribute 6",25.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.744
no checking account,24.0,existing credits paid back duly till now,radio/television,3165.0,A65,... < 1 year,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,56.0,none,for free,2.0,skilled employee / official,1.0,none,yes,0.814
... < 0 DM,12.0,no credits taken/ all credits paid back duly,furniture/equipment,276.0,A61,1 <= ... < 4 years,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,29.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.733
... < 0 DM,12.0,delay in paying off in the past,radio/television,6214.0,A61,4 <= ... < 7 years,4.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,28.0,none,for free,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.715
0 <= ... < 200 DM,11.0,all credits at this bank paid back duly,radio/television,6193.0,A65,... < 1 year,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,28.0,none,rent,2.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.791
... < 0 DM,14.0,no credits taken/ all credits paid back duly,education,7452.0,A61,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,27.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.709
0 <= ... < 200 DM,12.0,no credits taken/ all credits paid back duly,radio/television,6298.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,67.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.75
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,car (new),1603.0,A65,... < 1 year,2.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.726
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,car (new),338.0,A65,... < 1 year,4.0,male : single,guarantor,2.0,real estate,35.0,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,none,no,0.8
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,car (new),1623.0,A65,... < 1 year,4.0,male : single,none,3.0,real estate,58.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.689
... < 0 DM,9.0,existing credits paid back duly till now,car (new),1538.0,A65,... < 1 year,4.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",35.0,none,own,3.0,skilled employee / official,1.0,none,yes,0.756
0 <= ... < 200 DM,31.0,existing credits paid back duly till now,car (new),3881.0,A65,... < 1 year,4.0,male : single,none,2.0,real estate,35.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.694
no checking account,15.0,critical account/ other credits existing (not at this bank),furniture/equipment,1416.0,A65,... < 1 year,3.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,40.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.751
