age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
17.0,Other/Unknown,Doctorate,Divorced,Service,Other,Male,1.0,0.04
42.0,Private,Assoc,Single,White-Collar,White,Female,20.0,0.147
69.0,Other/Unknown,Doctorate,Widowed,Professional,Other,Male,41.0,0.117
90.0,Government,Doctorate,Married,Service,White,Female,70.0,0.453
17.0,Other/Unknown,Doctorate,Single,White-Collar,White,Female,99.0,0.128
17.0,Self-Employed,HS-grad,Single,Other/Unknown,Other,Female,1.0,0.873
17.0,Government,Prof-school,Divorced,Sales,Other,Male,36.0,0.869
90.0,Government,Bachelors,Widowed,Other/Unknown,White,Male,6.0,0.698
90.0,Self-Employed,Prof-school,Single,Other/Unknown,White,Female,59.0,0.869
74.0,Government,HS-grad,Widowed,Other/Unknown,Other,Male,99.0,0.9
27.0,Other/Unknown,School,Married,White-Collar,White,Male,1.0,0.031
17.0,Other/Unknown,Assoc,Divorced,Other/Unknown,White,Male,31.0,0.151
33.0,Private,Some-college,Married,White-Collar,White,Male,56.0,0.222
56.0,Other/Unknown,School,Divorced,Service,Other,Female,76.0,0.046
90.0,Other/Unknown,Some-college,Married,White-Collar,White,Male,99.0,0.064
17.0,Self-Employed,Prof-school,Single,Other/Unknown,White,Female,1.0,0.917
32.0,Self-Employed,HS-grad,Separated,Sales,Other,Male,19.0,0.77
52.0,Self-Employed,Prof-school,Single,Service,White,Male,42.0,0.805
68.0,Self-Employed,HS-grad,Married,Other/Unknown,White,Male,71.0,0.691
90.0,Self-Employed,Prof-school,Separated,Sales,Other,Female,99.0,0.928
17.0,Other/Unknown,School,Divorced,White-Collar,White,Female,1.0,0.038
30.0,Other/Unknown,HS-grad,Married,Blue-Collar,Other,Male,19.0,0.113
43.0,Private,Assoc,Married,Service,White,Male,42.0,0.157
68.0,Other/Unknown,School,Divorced,Blue-Collar,White,Male,70.0,0.067
90.0,Other/Unknown,HS-grad,Married,Professional,Other,Female,99.0,0.203
90.0,Private,Prof-school,Single,Other/Unknown,Other,Female,1.0,0.841
17.0,Self-Employed,HS-grad,Separated,Professional,White,Male,17.0,0.739
37.0,Private,Prof-school,Single,Sales,Other,Female,42.0,0.864
62.0,Self-Employed,HS-grad,Single,Other/Unknown,White,Female,76.0,0.821
90.0,Private,Prof-school,Widowed,Sales,Other,Male,99.0,0.85
37.0,Other/Unknown,Masters,Married,Professional,White,Male,1.0,0.109
90.0,Other/Unknown,Bachelors,Divorced,Sales,Other,Male,24.0,0.092
17.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,36.0,0.03
39.0,Other/Unknown,Assoc,Married,Professional,White,Male,75.0,0.073
90.0,Other/Unknown,Bachelors,Married,White-Collar,White,Male,99.0,0.089
17.0,Private,Doctorate,Widowed,White-Collar,Other,Female,1.0,0.277
42.0,Other/Unknown,Bachelors,Married,Professional,White,Male,18.0,0.147
71.0,Private,Assoc,Single,Sales,White,Male,41.0,0.273
90.0,Other/Unknown,Bachelors,Divorced,White-Collar,Other,Male,70.0,0.062
20.0,Other/Unknown,Bachelors,Married,White-Collar,White,Male,99.0,0.097
17.0,Other/Unknown,Assoc,Married,White-Collar,Other,Male,1.0,0.013
25.0,Private,Masters,Separated,White-Collar,White,Male,39.0,0.297
52.0,Other/Unknown,HS-grad,Married,Professional,White,Male,69.0,0.195
90.0,Private,Assoc,Divorced,Service,White,Male,94.0,0.184
17.0,Other/Unknown,HS-grad,Separated,White-Collar,Other,Female,99.0,0.182
17.0,Other/Unknown,School,Divorced,White-Collar,Other,Male,1.0,0.017
64.0,Private,HS-grad,Married,Service,White,Male,16.0,0.344
81.0,Private,HS-grad,Divorced,Blue-Collar,Other,Male,60.0,0.388
17.0,Other/Unknown,Assoc,Married,Professional,White,Female,42.0,0.098
90.0,Other/Unknown,Assoc,Married,Blue-Collar,White,Male,99.0,0.053
17.0,Private,Prof-school,Divorced,Other/Unknown,White,Male,1.0,0.764
17.0,Private,HS-grad,Separated,Sales,Other,Female,31.0,0.741
44.0,Private,Prof-school,Widowed,Other/Unknown,Other,Male,56.0,0.89
50.0,Government,Prof-school,Divorced,Sales,White,Male,87.0,0.777
90.0,Private,HS-grad,Widowed,Other/Unknown,Other,Female,99.0,0.811
17.0,Private,Assoc,Divorced,White-Collar,Other,Female,1.0,0.065
17.0,Other/Unknown,Doctorate,Married,Sales,White,Male,40.0,0.085
85.0,Private,Assoc,Widowed,Service,White,Male,15.0,0.16
84.0,Private,Assoc,Married,Professional,Other,Male,67.0,0.194
90.0,Other/Unknown,Doctorate,Separated,White-Collar,White,Female,99.0,0.152
17.0,Self-Employed,Prof-school,Separated,Other/Unknown,White,Female,1.0,0.878
17.0,Private,HS-grad,Single,Sales,Other,Male,27.0,0.732
34.0,Self-Employed,Prof-school,Separated,Blue-Collar,Other,Male,51.0,0.902
46.0,Self-Employed,HS-grad,Widowed,Other/Unknown,White,Male,84.0,0.841
90.0,Private,Prof-school,Single,Sales,Other,Female,99.0,0.852
17.0,Other/Unknown,School,Divorced,Blue-Collar,White,Female,1.0,0.056
31.0,Other/Unknown,Masters,Married,White-Collar,Other,Male,20.0,0.048
45.0,Private,Assoc,Married,Blue-Collar,White,Male,42.0,0.155
71.0,Other/Unknown,HS-grad,Divorced,White-Collar,White,Male,71.0,0.135
90.0,Other/Unknown,Assoc,Married,Professional,Other,Female,99.0,0.048
31.0,Government,Prof-school,Single,Other/Unknown,White,Female,1.0,0.896
17.0,Private,HS-grad,Separated,Professional,White,Male,30.0,0.562
32.0,Self-Employed,Bachelors,Single,Blue-Collar,Other,Male,60.0,0.806
39.0,Self-Employed,Bachelors,Married,Other/Unknown,White,Male,88.0,0.698
90.0,Private,Prof-school,Separated,Blue-Collar,Other,Female,99.0,0.796
17.0,Government,Prof-school,Married,Other/Unknown,White,Female,1.0,0.777
17.0,Government,HS-grad,Single,Blue-Collar,Other,Male,23.0,0.772
38.0,Government,Prof-school,Widowed,White-Collar,Other,Male,47.0,0.822
53.0,Government,HS-grad,Married,Other/Unknown,Other,Female,78.0,0.794
90.0,Government,Prof-school,Widowed,Sales,Other,Male,99.0,0.904
62.0,Self-Employed,Prof-school,Separated,Service,Other,Female,1.0,0.861
17.0,Government,Some-college,Single,Other/Unknown,White,Male,13.0,0.782
17.0,Self-Employed,HS-grad,Widowed,Sales,White,Male,44.0,0.813
52.0,Self-Employed,Prof-school,Single,Other/Unknown,White,Female,69.0,0.868
90.0,Private,Prof-school,Single,Other/Unknown,Other,Male,99.0,0.869
28.0,Government,Prof-school,Separated,Other/Unknown,White,Female,1.0,0.905
17.0,Private,Prof-school,Single,Blue-Collar,Other,Male,26.0,0.791
29.0,Self-Employed,Bachelors,Single,Professional,White,Female,49.0,0.778
44.0,Self-Employed,Prof-school,Widowed,White-Collar,Other,Female,80.0,0.874
17.0,Other/Unknown,Assoc,Separated,Professional,Other,Female,1.0,0.021
90.0,Other/Unknown,Bachelors,Married,Blue-Collar,White,Male,1.0,0.145
36.0,Other/Unknown,Masters,Divorced,White-Collar,Other,Female,35.0,0.038
65.0,Government,Assoc,Married,Service,White,Female,61.0,0.288
90.0,Other/Unknown,Bachelors,Single,White-Collar,White,Female,99.0,0.215
75.0,Private,Masters,Single,Sales,White,Male,22.0,0.382
86.0,Other/Unknown,Some-college,Divorced,Service,Other,Male,68.0,0.047
17.0,Private,Assoc,Married,Sales,White,Female,55.0,0.257
90.0,Other/Unknown,Masters,Married,Sales,White,Male,99.0,0.112
17.0,Other/Unknown,Assoc,Separated,White-Collar,Other,Male,1.0,0.011
35.0,Private,Some-college,Married,Sales,White,Male,25.0,0.293
60.0,Other/Unknown,Masters,Divorced,Professional,White,Male,55.0,0.13
90.0,Private,Assoc,Separated,White-Collar,Other,Male,79.0,0.122
17.0,Other/Unknown,Some-college,Married,Sales,White,Male,99.0,0.101
17.0,Other/Unknown,Assoc,Married,White-Collar,White,Female,1.0,0.036
30.0,Other/Unknown,HS-grad,Divorced,Service,White,Female,26.0,0.222
47.0,Private,Some-college,Married,White-Collar,White,Female,49.0,0.257
65.0,Other/Unknown,Masters,Single,Professional,Other,Male,73.0,0.112
90.0,Private,Some-college,Married,White-Collar,White,Female,99.0,0.262
17.0,Self-Employed,Bachelors,Married,Sales,Other,Male,6.0,0.621
90.0,Private,Prof-school,Single,Other/Unknown,White,Female,1.0,0.758
17.0,Self-Employed,HS-grad,Single,Sales,White,Female,35.0,0.884
46.0,Government,HS-grad,Widowed,Professional,White,Female,69.0,0.694
84.0,Private,Prof-school,Single,Sales,Other,Male,99.0,0.841
17.0,Other/Unknown,School,Widowed,White-Collar,Other,Female,1.0,0.05
35.0,Private,Bachelors,Married,White-Collar,White,Male,21.0,0.291
69.0,Other/Unknown,Assoc,Single,Blue-Collar,White,Male,45.0,0.092
90.0,Other/Unknown,Assoc,Divorced,White-Collar,Other,Male,75.0,0.014
17.0,Other/Unknown,Bachelors,Married,White-Collar,White,Male,99.0,0.097
17.0,Private,Prof-school,Widowed,Sales,White,Male,1.0,0.783
60.0,Government,HS-grad,Single,Professional,Other,Female,15.0,0.727
17.0,Private,Prof-school,Separated,Other/Unknown,Other,Male,68.0,0.883
90.0,Government,Prof-school,Divorced,Other/Unknown,Other,Female,40.0,0.81
83.0,Private,Prof-school,Widowed,Sales,Other,Female,99.0,0.87
17.0,Other/Unknown,Masters,Separated,White-Collar,Other,Male,1.0,0.037
29.0,Other/Unknown,Assoc,Married,Blue-Collar,White,Female,39.0,0.059
65.0,Other/Unknown,Masters,Married,Professional,White,Male,68.0,0.114
17.0,Other/Unknown,School,Separated,Sales,White,Male,99.0,0.103
90.0,Other/Unknown,Masters,Divorced,Professional,Other,Female,99.0,0.084
77.0,Self-Employed,Prof-school,Separated,Blue-Collar,White,Female,1.0,0.855
17.0,Private,HS-grad,Single,Sales,Other,Male,24.0,0.729
35.0,Government,Prof-school,Separated,Blue-Collar,Other,Male,50.0,0.865
52.0,Self-Employed,HS-grad,Widowed,Other/Unknown,White,Male,81.0,0.839
21.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,1.0,0.03
73.0,Other/Unknown,Masters,Divorced,Professional,Other,Male,22.0,0.059
86.0,Other/Unknown,Assoc,Separated,Service,Other,Male,67.0,0.026
17.0,Other/Unknown,Assoc,Married,Professional,White,Female,50.0,0.099
55.0,Government,Prof-school,Widowed,Sales,White,Male,1.0,0.825
17.0,Government,HS-grad,Separated,Other/Unknown,Other,Female,22.0,0.826
61.0,Private,Prof-school,Divorced,Other/Unknown,White,Male,42.0,0.741
62.0,Government,Bachelors,Divorced,Sales,Other,Female,76.0,0.791
90.0,Private,Prof-school,Widowed,Other/Unknown,White,Male,99.0,0.814
17.0,Private,Assoc,Divorced,White-Collar,Other,Male,1.0,0.082
39.0,Other/Unknown,Bachelors,Married,Service,White,Male,20.0,0.12
57.0,Private,School,Married,Blue-Collar,White,Male,47.0,0.254
75.0,Other/Unknown,Masters,Separated,Sales,Other,Female,71.0,0.13
90.0,Private,School,Married,Blue-Collar,White,Male,99.0,0.252
17.0,Private,Prof-school,Single,Professional,Other,Female,1.0,0.805
17.0,Self-Employed,HS-grad,Single,White-Collar,Other,Male,37.0,0.737
84.0,Government,HS-grad,Divorced,Other/Unknown,White,Male,1.0,0.773
27.0,Government,Masters,Divorced,Other/Unknown,White,Female,68.0,0.691
90.0,Government,Prof-school,Single,White-Collar,Other,Female,99.0,0.82
17.0,Self-Employed,Assoc,Divorced,Blue-Collar,Other,Female,1.0,0.118
28.0,Other/Unknown,Masters,Single,White-Collar,White,Male,24.0,0.1
47.0,Self-Employed,Assoc,Married,White-Collar,White,Female,50.0,0.187
64.0,Other/Unknown,School,Divorced,Service,Other,Male,73.0,0.035
90.0,Other/Unknown,Assoc,Married,White-Collar,White,Female,99.0,0.054
57.0,Private,HS-grad,Separated,Sales,White,Male,1.0,0.508
17.0,Government,Prof-school,Single,Professional,Other,Female,24.0,0.874
58.0,Self-Employed,Prof-school,Widowed,Other/Unknown,White,Female,46.0,0.878
64.0,Government,HS-grad,Separated,Other/Unknown,Other,Male,75.0,0.842
90.0,Private,Prof-school,Widowed,White-Collar,Other,Female,99.0,0.743
17.0,Government,Prof-school,Separated,Other/Unknown,White,Female,1.0,0.905
37.0,Private,Prof-school,Single,Professional,Other,Male,22.0,0.803
17.0,Private,Bachelors,Single,Blue-Collar,Other,Male,75.0,0.693
90.0,Self-Employed,Bachelors,Single,Blue-Collar,Other,Female,41.0,0.742
90.0,Private,Prof-school,Widowed,Other/Unknown,Other,Male,99.0,0.888
17.0,Self-Employed,Prof-school,Widowed,Professional,White,Male,1.0,0.828
58.0,Government,HS-grad,Divorced,Sales,Other,Female,20.0,0.727
17.0,Private,School,Widowed,Other/Unknown,White,Male,45.0,0.676
62.0,Government,Bachelors,Divorced,Other/Unknown,Other,Female,71.0,0.776
90.0,Private,Prof-school,Widowed,Other/Unknown,White,Female,99.0,0.821
17.0,Private,Prof-school,Single,Professional,Other,Male,26.0,0.81
44.0,Private,HS-grad,Widowed,Sales,Other,Male,45.0,0.734
52.0,Self-Employed,Prof-school,Married,Professional,White,Female,76.0,0.677
88.0,Private,Prof-school,Widowed,Other/Unknown,Other,Male,99.0,0.888
17.0,Government,Assoc,Divorced,White-Collar,Other,Male,1.0,0.146
90.0,Other/Unknown,School,Married,Professional,White,Male,17.0,0.067
34.0,Government,School,Married,White-Collar,White,Male,45.0,0.291
64.0,Other/Unknown,Some-college,Separated,Service,Other,Female,71.0,0.101
90.0,Government,School,Married,White-Collar,White,Male,99.0,0.26
26.0,Self-Employed,Prof-school,Single,Professional,White,Male,1.0,0.879
17.0,Government,HS-grad,Widowed,Sales,Other,Female,29.0,0.862
70.0,Self-Employed,Prof-school,Single,Other/Unknown,White,Male,47.0,0.881
17.0,Government,HS-grad,Single,Other/Unknown,White,Female,80.0,0.848
90.0,Government,Prof-school,Widowed,White-Collar,Other,Male,99.0,0.813
17.0,Private,Assoc,Married,Blue-Collar,Other,Male,1.0,0.137
51.0,Other/Unknown,HS-grad,Divorced,White-Collar,White,Female,15.0,0.112
62.0,Other/Unknown,Assoc,Married,Professional,Other,Female,40.0,0.034
88.0,Private,Doctorate,Divorced,Blue-Collar,White,Female,66.0,0.244
90.0,Other/Unknown,HS-grad,Married,Service,White,Female,99.0,0.239
17.0,Self-Employed,Assoc,Married,Professional,White,Male,1.0,0.428
90.0,Other/Unknown,School,Divorced,White-Collar,Other,Male,27.0,0.02
17.0,Private,Assoc,Married,Service,White,Male,55.0,0.164
51.0,Other/Unknown,Some-college,Married,Professional,White,Male,81.0,0.102
90.0,Other/Unknown,Assoc,Divorced,White-Collar,White,Female,99.0,0.033
17.0,Other/Unknown,Assoc,Divorced,White-Collar,White,Male,1.0,0.03
34.0,Other/Unknown,HS-grad,Married,White-Collar,White,Male,35.0,0.096
48.0,Other/Unknown,Assoc,Married,Blue-Collar,Other,Male,63.0,0.028
70.0,Private,Assoc,Divorced,Service,White,Male,84.0,0.187
90.0,Other/Unknown,HS-grad,Married,White-Collar,Other,Female,99.0,0.141
17.0,Private,School,Single,White-Collar,Other,Female,1.0,0.285
25.0,Other/Unknown,Some-college,Married,Blue-Collar,White,Male,21.0,0.081
45.0,Private,Assoc,Married,Sales,White,Male,50.0,0.163
65.0,Private,School,Divorced,White-Collar,Other,Female,75.0,0.218
90.0,Other/Unknown,Some-college,Married,Blue-Collar,White,Male,99.0,0.109
90.0,Self-Employed,Prof-school,Widowed,Sales,White,Male,1.0,0.845
17.0,Government,HS-grad,Single,Professional,Other,Female,10.0,0.76
17.0,Private,Prof-school,Single,Other/Unknown,Other,Male,43.0,0.878
34.0,Government,Prof-school,Widowed,Service,Other,Female,75.0,0.873
90.0,Private,Bachelors,Single,Other/Unknown,Other,Female,99.0,0.742
17.0,Other/Unknown,School,Married,Professional,White,Female,1.0,0.077
42.0,Private,Assoc,Divorced,Service,Other,Male,26.0,0.106
49.0,Other/Unknown,Prof-school,Married,Sales,White,Male,57.0,0.316
76.0,Private,School,Separated,Professional,White,Male,81.0,0.345
90.0,Other/Unknown,Assoc,Married,White-Collar,Other,Female,99.0,0.027
17.0,Private,HS-grad,Widowed,Sales,Other,Male,28.0,0.749
36.0,Self-Employed,Bachelors,Single,Blue-Collar,Other,Male,51.0,0.796
43.0,Self-Employed,Prof-school,Married,Other/Unknown,White,Female,80.0,0.752
17.0,Other/Unknown,Bachelors,Married,Service,White,Male,45.0,0.122
90.0,Self-Employed,Assoc,Married,Professional,White,Male,15.0,0.321
73.0,Other/Unknown,Assoc,Divorced,Professional,Other,Male,67.0,0.028
17.0,Government,Prof-school,Single,Sales,Other,Male,1.0,0.883
17.0,Self-Employed,HS-grad,Widowed,Other/Unknown,White,Female,22.0,0.799
34.0,Self-Employed,Some-college,Single,Sales,White,Male,49.0,0.77
59.0,Private,Prof-school,Separated,Blue-Collar,Other,Female,69.0,0.808
90.0,Private,Prof-school,Single,Other/Unknown,White,Male,99.0,0.75
20.0,Other/Unknown,Assoc,Married,Blue-Collar,White,Male,1.0,0.051
90.0,Other/Unknown,Masters,Divorced,White-Collar,Other,Male,21.0,0.033
21.0,Other/Unknown,HS-grad,Married,Sales,White,Male,49.0,0.155
63.0,Other/Unknown,Assoc,Divorced,Blue-Collar,White,Male,74.0,0.049
90.0,Other/Unknown,HS-grad,Married,White-Collar,Other,Male,99.0,0.125
17.0,Self-Employed,Prof-school,Widowed,Sales,White,Male,1.0,0.861
47.0,Government,HS-grad,Single,Other/Unknown,Other,Female,6.0,0.844
53.0,Private,Prof-school,Separated,White-Collar,Other,Male,35.0,0.681
66.0,Government,HS-grad,Divorced,Sales,White,Female,63.0,0.74
17.0,Self-Employed,Prof-school,Single,Professional,White,Female,47.0,0.836
79.0,Government,Masters,Widowed,Other/Unknown,White,Female,22.0,0.762
46.0,Government,Masters,Widowed,Other/Unknown,White,Female,77.0,0.784
90.0,Government,Prof-school,Single,Professional,Other,Male,99.0,0.832
17.0,Other/Unknown,School,Married,White-Collar,Other,Male,1.0,0.028
43.0,Other/Unknown,Assoc,Single,Blue-Collar,White,Female,20.0,0.112
55.0,Other/Unknown,Doctorate,Married,White-Collar,Other,Male,45.0,0.046
85.0,Other/Unknown,Assoc,Separated,Sales,White,Male,69.0,0.054
90.0,Other/Unknown,Assoc,Married,White-Collar,Other,Male,99.0,0.025
56.0,Private,HS-grad,Widowed,Sales,Other,Male,23.0,0.696
17.0,Private,Prof-school,Separated,Sales,White,Female,73.0,0.798
90.0,Self-Employed,Bachelors,Single,Other/Unknown,White,Male,42.0,0.795
90.0,Private,Bachelors,Widowed,Other/Unknown,Other,Male,99.0,0.759
17.0,Other/Unknown,Assoc,Widowed,White-Collar,Other,Male,1.0,0.016
47.0,Private,Bachelors,Married,White-Collar,White,Male,26.0,0.285
68.0,Other/Unknown,Some-college,Single,Blue-Collar,White,Male,60.0,0.157
90.0,Private,Assoc,Divorced,Service,Other,Male,85.0,0.112
17.0,Self-Employed,Prof-school,Separated,Professional,White,Female,1.0,0.849
17.0,Private,HS-grad,Widowed,Sales,Other,Male,26.0,0.746
26.0,Self-Employed,Prof-school,Single,Other/Unknown,White,Female,49.0,0.891
45.0,Self-Employed,Bachelors,Separated,Professional,Other,Male,79.0,0.768
17.0,Other/Unknown,Assoc,Divorced,Sales,White,Male,1.0,0.102
32.0,Other/Unknown,Assoc,Married,Blue-Collar,Other,Female,21.0,0.022
40.0,Private,Assoc,Married,Blue-Collar,White,Male,50.0,0.161
61.0,Other/Unknown,School,Divorced,Service,Other,Female,76.0,0.046
90.0,Private,Assoc,Married,Blue-Collar,White,Male,99.0,0.161
90.0,Government,Prof-school,Widowed,Other/Unknown,White,Female,1.0,0.88
17.0,Private,Bachelors,Separated,Sales,Other,Male,18.0,0.558
42.0,Private,HS-grad,Widowed,Sales,White,Female,45.0,0.713
65.0,Self-Employed,HS-grad,Single,Other/Unknown,White,Female,76.0,0.819
17.0,Other/Unknown,Doctorate,Married,Sales,Other,Male,1.0,0.067
77.0,Government,HS-grad,Divorced,White-Collar,White,Male,17.0,0.462
66.0,Other/Unknown,School,Separated,Service,Other,Male,69.0,0.047
17.0,Other/Unknown,Assoc,Married,White-Collar,White,Male,45.0,0.031
90.0,Other/Unknown,HS-grad,Married,White-Collar,White,Male,99.0,0.117
17.0,Other/Unknown,School,Separated,White-Collar,White,Female,1.0,0.05
20.0,Other/Unknown,HS-grad,Married,Blue-Collar,Other,Male,22.0,0.118
40.0,Private,Assoc,Married,Sales,White,Male,43.0,0.169
62.0,Private,School,Divorced,Blue-Collar,White,Male,70.0,0.294
90.0,Other/Unknown,HS-grad,Married,Blue-Collar,Other,Male,99.0,0.181
17.0,Private,HS-grad,Widowed,Sales,Other,Male,25.0,0.744
32.0,Self-Employed,Prof-school,Separated,Blue-Collar,Other,Male,51.0,0.902
46.0,Self-Employed,HS-grad,Widowed,Other/Unknown,White,Male,79.0,0.839
17.0,Other/Unknown,Assoc,Divorced,Service,White,Female,1.0,0.081
25.0,Other/Unknown,Assoc,Married,White-Collar,White,Female,34.0,0.037
90.0,Self-Employed,School,Married,White-Collar,Other,Female,1.0,0.202
59.0,Self-Employed,Doctorate,Divorced,White-Collar,Other,Female,65.0,0.218
90.0,Other/Unknown,HS-grad,Married,White-Collar,White,Female,99.0,0.167
17.0,Government,Prof-school,Divorced,Other/Unknown,White,Female,1.0,0.822
17.0,Private,Bachelors,Widowed,Sales,Other,Male,25.0,0.644
37.0,Self-Employed,Prof-school,Single,Other/Unknown,Other,Male,46.0,0.928
47.0,Self-Employed,Prof-school,Married,Other/Unknown,White,Female,78.0,0.751
17.0,Private,Assoc,Divorced,Service,Other,Male,1.0,0.112
90.0,Other/Unknown,Prof-school,Married,Other/Unknown,White,Male,12.0,0.387
42.0,Private,HS-grad,Married,White-Collar,White,Male,45.0,0.298
90.0,Other/Unknown,Masters,Separated,Sales,Other,Female,65.0,0.127
90.0,Private,HS-grad,Married,White-Collar,White,Male,99.0,0.28
82.0,Government,Prof-school,Divorced,Other/Unknown,White,Female,1.0,0.771
17.0,Private,Prof-school,Widowed,Sales,Other,Male,20.0,0.842
37.0,Self-Employed,Prof-school,Separated,Other/Unknown,White,Female,46.0,0.885
51.0,Government,Bachelors,Divorced,Other/Unknown,White,Male,80.0,0.719
90.0,Private,Prof-school,Widowed,Professional,Other,Female,99.0,0.816
17.0,Other/Unknown,Assoc,Separated,Service,White,Male,1.0,0.05
46.0,Other/Unknown,Bachelors,Married,White-Collar,Other,Male,17.0,0.077
58.0,Other/Unknown,HS-grad,Married,Professional,White,Female,42.0,0.213
82.0,Government,Assoc,Divorced,White-Collar,White,Male,67.0,0.199
90.0,Other/Unknown,Bachelors,Married,White-Collar,Other,Male,99.0,0.103
17.0,Government,Prof-school,Single,Other/Unknown,White,Male,1.0,0.897
17.0,Self-Employed,HS-grad,Widowed,Professional,Other,Female,25.0,0.745
37.0,Private,Prof-school,Separated,Sales,Other,Female,49.0,0.869
56.0,Government,HS-grad,Single,Blue-Collar,Other,Male,75.0,0.751
90.0,Private,Prof-school,Separated,Sales,White,Female,99.0,0.751
68.0,Private,Assoc,Married,Service,White,Male,17.0,0.139
87.0,Private,HS-grad,Divorced,Blue-Collar,Other,Male,60.0,0.376
17.0,Other/Unknown,Assoc,Married,Professional,White,Female,43.0,0.098
17.0,Private,HS-grad,Single,Blue-Collar,Other,Male,27.0,0.629
28.0,Self-Employed,Bachelors,Single,Professional,White,Female,49.0,0.779
43.0,Self-Employed,Prof-school,Widowed,White-Collar,Other,Female,80.0,0.874
17.0,Other/Unknown,Assoc,Divorced,Blue-Collar,Other,Male,1.0,0.016
33.0,Other/Unknown,Assoc,Married,White-Collar,White,Female,22.0,0.035
48.0,Private,Assoc,Married,White-Collar,Other,Male,48.0,0.126
70.0,Other/Unknown,Some-college,Separated,Service,White,Female,73.0,0.168
90.0,Private,Assoc,Married,White-Collar,Other,Male,99.0,0.128
17.0,Private,Prof-school,Widowed,Sales,Other,Female,1.0,0.841
33.0,Self-Employed,HS-grad,Single,Professional,White,Female,22.0,0.822
61.0,Private,Prof-school,Separated,Other/Unknown,Other,Male,40.0,0.86
67.0,Self-Employed,HS-grad,Single,Sales,White,Female,72.0,0.835
90.0,Private,Prof-school,Separated,Professional,Other,Male,99.0,0.783
17.0,Other/Unknown,Doctorate,Widowed,White-Collar,Other,Female,1.0,0.041
43.0,Private,Bachelors,Married,White-Collar,White,Male,21.0,0.285
