status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,bank,own,2.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.015
no checking account,22.0,critical account/ other credits existing (not at this bank),business,4539.0,A62,.. >= 7 years,1.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",31.0,none,own,3.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,no,0.195
0 <= ... < 200 DM,60.0,delay in paying off in the past,radio/television,15945.0,A62,.. >= 7 years,1.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.037
0 <= ... < 200 DM,40.0,delay in paying off in the past,car (new),9817.0,A61,unemployed,3.0,male : married/widowed,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",61.0,none,own,3.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.189
... >= 200 DM / salary assignments for at least 1 year,60.0,no credits taken/ all credits paid back duly,car (new),15945.0,A62,.. >= 7 years,4.0,male : single,none,4.0,real estate,75.0,bank,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.037
... >= 200 DM / salary assignments for at least 1 year,5.0,delay in paying off in the past,furniture/equipment,276.0,A63,1 <= ... < 4 years,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.781
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,education,276.0,A65,... < 1 year,3.0,female : divorced/separated/married,guarantor,2.0,"if not A121/A122 : car or other, not in attribute 6",25.0,none,rent,1.0,unskilled - resident,1.0,none,no,0.777
no checking account,17.0,delay in paying off in the past,car (new),2874.0,A64,... < 1 year,4.0,male : divorced/separated,none,3.0,if not A121 : building society savings agreement/ life insurance,45.0,none,for free,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.844
0 <= ... < 200 DM,38.0,existing credits paid back duly till now,retraining,7962.0,A65,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,62.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.787
0 <= ... < 200 DM,60.0,delay in paying off in the past,retraining,15945.0,A63,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,unskilled - resident,1.0,none,no,0.887
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,3.0,female : divorced/separated/married,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.041
... < 0 DM,23.0,critical account/ other credits existing (not at this bank),radio/television,276.0,A64,1 <= ... < 4 years,1.0,male : single,co-applicant,2.0,real estate,19.0,stores,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.134
... < 0 DM,39.0,existing credits paid back duly till now,radio/television,4511.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,3.0,unknown / no property,30.0,bank,rent,1.0,skilled employee / official,2.0,none,yes,0.147
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,car (used),10248.0,A61,unemployed,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",47.0,none,own,1.0,skilled employee / official,2.0,none,yes,0.275
... < 0 DM,60.0,critical account/ other credits existing (not at this bank),radio/television,15945.0,A62,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,unknown / no property,75.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.066
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.826
... < 0 DM,4.0,delay in paying off in the past,education,276.0,A61,1 <= ... < 4 years,2.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",36.0,none,for free,2.0,unskilled - resident,1.0,none,yes,0.736
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,furniture/equipment,276.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.912
0 <= ... < 200 DM,32.0,existing credits paid back duly till now,retraining,7638.0,A61,1 <= ... < 4 years,3.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,59.0,none,for free,3.0,skilled employee / official,1.0,none,yes,0.807
0 <= ... < 200 DM,60.0,delay in paying off in the past,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.874
0 <= ... < 200 DM,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,2.0,male : single,co-applicant,2.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.023
no checking account,14.0,delay in paying off in the past,radio/television,276.0,A61,4 <= ... < 7 years,3.0,male : married/widowed,none,3.0,real estate,37.0,stores,own,1.0,skilled employee / official,2.0,none,no,0.077
... < 0 DM,41.0,delay in paying off in the past,radio/television,5784.0,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,65.0,stores,own,1.0,skilled employee / official,1.0,none,yes,0.233
... < 0 DM,60.0,all credits at this bank paid back duly,radio/television,15945.0,A61,.. >= 7 years,1.0,male : married/widowed,none,1.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,4.0,unemployed/ unskilled - non-resident,2.0,none,yes,0.091
no checking account,60.0,no credits taken/ all credits paid back duly,business,11258.0,A62,unemployed,4.0,female : divorced/separated/married,guarantor,4.0,unknown / no property,75.0,bank,rent,3.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.108
0 <= ... < 200 DM,4.0,delay in paying off in the past,car (new),276.0,A65,... < 1 year,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.751
no checking account,7.0,all credits at this bank paid back duly,business,276.0,A63,1 <= ... < 4 years,1.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",29.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.78
... >= 200 DM / salary assignments for at least 1 year,31.0,delay in paying off in the past,retraining,276.0,A64,... < 1 year,2.0,male : divorced/separated,guarantor,4.0,real estate,58.0,stores,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.755
no checking account,50.0,critical account/ other credits existing (not at this bank),car (new),7089.0,A64,1 <= ... < 4 years,3.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.775
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,retraining,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,41.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.8
no checking account,4.0,critical account/ other credits existing (not at this bank),radio/television,276.0,A61,unemployed,2.0,female : divorced/separated/married,co-applicant,1.0,real estate,19.0,bank,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.124
... < 0 DM,15.0,all credits at this bank paid back duly,others,276.0,A65,.. >= 7 years,3.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",28.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.1
... < 0 DM,41.0,all credits at this bank paid back duly,others,6075.0,A65,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",57.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.161
... < 0 DM,60.0,no credits taken/ all credits paid back duly,others,15945.0,A62,unemployed,4.0,male : single,none,1.0,unknown / no property,75.0,stores,own,3.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.028
... >= 200 DM / salary assignments for at least 1 year,56.0,all credits at this bank paid back duly,business,10547.0,A65,.. >= 7 years,2.0,male : married/widowed,co-applicant,4.0,real estate,69.0,bank,for free,2.0,unskilled - resident,2.0,none,no,0.092
no checking account,4.0,existing credits paid back duly till now,car (new),276.0,A64,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,23.0,none,own,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.775
... < 0 DM,7.0,all credits at this bank paid back duly,retraining,276.0,A65,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,1.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.78
... >= 200 DM / salary assignments for at least 1 year,25.0,existing credits paid back duly till now,education,3264.0,A61,4 <= ... < 7 years,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",40.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.854
0 <= ... < 200 DM,47.0,existing credits paid back duly till now,radio/television,9122.0,A61,... < 1 year,4.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,57.0,none,for free,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.76
no checking account,60.0,all credits at this bank paid back duly,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.84
... < 0 DM,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.016
... >= 200 DM / salary assignments for at least 1 year,6.0,critical account/ other credits existing (not at this bank),business,1124.0,A61,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.194
no checking account,23.0,delay in paying off in the past,radio/television,4984.0,A65,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,1.0,real estate,28.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.059
0 <= ... < 200 DM,42.0,existing credits paid back duly till now,car (used),10241.0,A65,1 <= ... < 4 years,3.0,male : married/widowed,co-applicant,1.0,unknown / no property,48.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.119
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,radio/television,15945.0,A62,1 <= ... < 4 years,4.0,male : married/widowed,none,4.0,real estate,75.0,bank,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.032
... >= 200 DM / salary assignments for at least 1 year,6.0,critical account/ other credits existing (not at this bank),radio/television,606.0,A61,.. >= 7 years,4.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,no,0.273
no checking account,26.0,no credits taken/ all credits paid back duly,radio/television,8160.0,A62,unemployed,1.0,male : single,co-applicant,2.0,if not A121 : building society savings agreement/ life insurance,19.0,bank,rent,1.0,skilled employee / official,2.0,none,yes,0.073
no checking account,41.0,existing credits paid back duly till now,car (used),10643.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,none,3.0,"if not A121/A122 : car or other, not in attribute 6",45.0,none,own,1.0,skilled employee / official,1.0,none,yes,0.284
0 <= ... < 200 DM,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : single,none,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.021
... < 0 DM,33.0,existing credits paid back duly till now,repairs,2133.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,real estate,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.308
no checking account,54.0,critical account/ other credits existing (not at this bank),radio/television,7817.0,A62,unemployed,2.0,male : single,none,2.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.103
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),13374.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,unknown / no property,40.0,none,rent,1.0,skilled employee / official,2.0,none,yes,0.207
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,15945.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,guarantor,4.0,real estate,75.0,stores,own,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.236
no checking account,4.0,no credits taken/ all credits paid back duly,furniture/equipment,276.0,A64,... < 1 year,1.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.755
0 <= ... < 200 DM,4.0,delay in paying off in the past,furniture/equipment,276.0,A65,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",39.0,none,for free,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.786
... >= 200 DM / salary assignments for at least 1 year,15.0,existing credits paid back duly till now,retraining,752.0,A65,.. >= 7 years,4.0,male : single,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,71.0,none,rent,2.0,skilled employee / official,1.0,none,yes,0.802
no checking account,37.0,critical account/ other credits existing (not at this bank),furniture/equipment,7278.0,A63,.. >= 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,own,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.719
0 <= ... < 200 DM,60.0,delay in paying off in the past,car (new),15945.0,A65,4 <= ... < 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.852
no checking account,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A64,unemployed,1.0,male : married/widowed,co-applicant,1.0,real estate,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.013
... >= 200 DM / salary assignments for at least 1 year,22.0,existing credits paid back duly till now,repairs,1797.0,A61,.. >= 7 years,3.0,male : single,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,stores,own,1.0,unskilled - resident,2.0,none,no,0.108
... < 0 DM,37.0,delay in paying off in the past,radio/television,5752.0,A62,4 <= ... < 7 years,4.0,male : single,none,2.0,real estate,27.0,bank,rent,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.217
... < 0 DM,60.0,existing credits paid back duly till now,car (used),12768.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,none,3.0,if not A121 : building society savings agreement/ life insurance,45.0,none,own,1.0,skilled employee / official,2.0,none,yes,0.246
... >= 200 DM / salary assignments for at least 1 year,60.0,no credits taken/ all credits paid back duly,furniture/equipment,15945.0,A62,unemployed,4.0,male : single,co-applicant,4.0,unknown / no property,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.022
... < 0 DM,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,real estate,19.0,bank,own,2.0,skilled employee / official,2.0,none,yes,0.033
... >= 200 DM / salary assignments for at least 1 year,31.0,critical account/ other credits existing (not at this bank),domestic appliances,2177.0,A61,1 <= ... < 4 years,2.0,male : single,guarantor,2.0,unknown / no property,25.0,bank,for free,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.177
0 <= ... < 200 DM,48.0,no credits taken/ all credits paid back duly,repairs,7119.0,A64,1 <= ... < 4 years,3.0,male : single,none,4.0,unknown / no property,45.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.142
... < 0 DM,60.0,no credits taken/ all credits paid back duly,car (used),13084.0,A61,unemployed,4.0,male : married/widowed,none,4.0,real estate,65.0,none,for free,4.0,skilled employee / official,2.0,none,no,0.271
no checking account,60.0,delay in paying off in the past,furniture/equipment,15945.0,A63,1 <= ... < 4 years,4.0,male : single,guarantor,4.0,unknown / no property,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.066
