status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
no checking account,60.0,critical account/ other credits existing (not at this bank),domestic appliances,13728.0,A62,unemployed,1.0,male : single,none,1.0,real estate,19.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.067
... < 0 DM,34.0,all credits at this bank paid back duly,car (used),6346.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,53.0,bank,for free,2.0,unskilled - resident,2.0,none,yes,0.132
... < 0 DM,60.0,all credits at this bank paid back duly,car (new),15945.0,A61,4 <= ... < 7 years,4.0,male : single,none,4.0,unknown / no property,75.0,stores,own,2.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.082
... < 0 DM,4.0,delay in paying off in the past,business,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.851
0 <= ... < 200 DM,4.0,delay in paying off in the past,education,276.0,A65,4 <= ... < 7 years,4.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",24.0,none,for free,1.0,skilled employee / official,1.0,none,no,0.857
0 <= ... < 200 DM,18.0,all credits at this bank paid back duly,car (new),2972.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,59.0,none,rent,4.0,skilled employee / official,1.0,none,yes,0.871
... < 0 DM,39.0,delay in paying off in the past,furniture/equipment,8118.0,A65,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.82
0 <= ... < 200 DM,60.0,delay in paying off in the past,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.856
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,.. >= 7 years,1.0,female : divorced/separated/married,guarantor,1.0,unknown / no property,19.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.043
... < 0 DM,4.0,critical account/ other credits existing (not at this bank),car (used),1670.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.148
0 <= ... < 200 DM,19.0,existing credits paid back duly till now,radio/television,7104.0,A61,unemployed,4.0,male : married/widowed,none,4.0,"if not A121/A122 : car or other, not in attribute 6",28.0,stores,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.138
0 <= ... < 200 DM,60.0,no credits taken/ all credits paid back duly,car (used),15945.0,A62,1 <= ... < 4 years,4.0,male : married/widowed,co-applicant,1.0,unknown / no property,42.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.011
... >= 200 DM / salary assignments for at least 1 year,46.0,existing credits paid back duly till now,repairs,11664.0,A62,... < 1 year,4.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,4.0,skilled employee / official,2.0,none,yes,0.297
... < 0 DM,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,real estate,19.0,bank,own,2.0,skilled employee / official,2.0,none,yes,0.033
... >= 200 DM / salary assignments for at least 1 year,31.0,critical account/ other credits existing (not at this bank),domestic appliances,2177.0,A61,1 <= ... < 4 years,2.0,male : single,guarantor,2.0,unknown / no property,25.0,bank,for free,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.177
0 <= ... < 200 DM,48.0,no credits taken/ all credits paid back duly,repairs,7119.0,A64,1 <= ... < 4 years,3.0,male : single,none,4.0,unknown / no property,45.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.142
... < 0 DM,60.0,no credits taken/ all credits paid back duly,car (used),13084.0,A61,unemployed,4.0,male : married/widowed,none,4.0,real estate,65.0,none,for free,4.0,skilled employee / official,2.0,none,no,0.271
no checking account,60.0,delay in paying off in the past,furniture/equipment,15945.0,A63,1 <= ... < 4 years,4.0,male : single,guarantor,4.0,unknown / no property,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.066
no checking account,4.0,critical account/ other credits existing (not at this bank),radio/television,276.0,A61,unemployed,2.0,female : divorced/separated/married,co-applicant,1.0,real estate,19.0,bank,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.124
... < 0 DM,15.0,all credits at this bank paid back duly,others,276.0,A65,.. >= 7 years,3.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",28.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.1
... < 0 DM,41.0,all credits at this bank paid back duly,others,6075.0,A65,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",57.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.161
... < 0 DM,60.0,no credits taken/ all credits paid back duly,others,15945.0,A62,unemployed,4.0,male : single,none,1.0,unknown / no property,75.0,stores,own,3.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.028
... >= 200 DM / salary assignments for at least 1 year,56.0,all credits at this bank paid back duly,business,10547.0,A65,.. >= 7 years,2.0,male : married/widowed,co-applicant,4.0,real estate,69.0,bank,for free,2.0,unskilled - resident,2.0,none,no,0.092
no checking account,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.012
... >= 200 DM / salary assignments for at least 1 year,29.0,delay in paying off in the past,business,276.0,A61,.. >= 7 years,3.0,male : single,guarantor,3.0,real estate,19.0,none,own,1.0,unskilled - resident,1.0,none,no,0.258
0 <= ... < 200 DM,49.0,existing credits paid back duly till now,radio/television,3763.0,A62,unemployed,4.0,male : single,none,4.0,real estate,25.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.027
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),11053.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,unknown / no property,44.0,none,own,2.0,skilled employee / official,2.0,none,yes,0.156
... < 0 DM,60.0,existing credits paid back duly till now,radio/television,15945.0,A61,.. >= 7 years,4.0,male : single,co-applicant,4.0,real estate,75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.032
... < 0 DM,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A62,unemployed,1.0,female : divorced/separated/married,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.074
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,radio/television,15945.0,A62,1 <= ... < 4 years,2.0,female : divorced/separated/married,guarantor,1.0,unknown / no property,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.036
... < 0 DM,23.0,delay in paying off in the past,domestic appliances,1204.0,A61,.. >= 7 years,4.0,male : single,none,2.0,real estate,19.0,bank,rent,1.0,unemployed/ unskilled - non-resident,2.0,none,yes,0.125
... < 0 DM,45.0,existing credits paid back duly till now,car (used),7527.0,A61,... < 1 year,4.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",40.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",no,0.338
... < 0 DM,60.0,critical account/ other credits existing (not at this bank),car (used),15945.0,A62,unemployed,4.0,female : divorced/separated/married,none,4.0,unknown / no property,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.021
no checking account,4.0,all credits at this bank paid back duly,radio/television,588.0,A61,1 <= ... < 4 years,3.0,male : single,none,1.0,unknown / no property,19.0,bank,for free,1.0,skilled employee / official,1.0,none,no,0.204
... >= 200 DM / salary assignments for at least 1 year,21.0,no credits taken/ all credits paid back duly,radio/television,5471.0,A62,4 <= ... < 7 years,4.0,male : divorced/separated,none,1.0,real estate,30.0,none,for free,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.191
... < 0 DM,45.0,all credits at this bank paid back duly,car (used),11386.0,A61,unemployed,4.0,male : divorced/separated,co-applicant,1.0,unknown / no property,52.0,stores,for free,1.0,skilled employee / official,2.0,none,yes,0.212
... < 0 DM,60.0,all credits at this bank paid back duly,radio/television,15945.0,A64,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,unknown / no property,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.059
no checking account,4.0,critical account/ other credits existing (not at this bank),education,276.0,A62,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.059
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,others,947.0,A61,4 <= ... < 7 years,2.0,male : single,none,2.0,unknown / no property,19.0,bank,for free,1.0,skilled employee / official,2.0,none,no,0.188
no checking account,60.0,no credits taken/ all credits paid back duly,car (used),6287.0,A62,unemployed,3.0,male : single,co-applicant,3.0,unknown / no property,33.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.036
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,education,13299.0,A61,1 <= ... < 4 years,4.0,male : married/widowed,co-applicant,4.0,real estate,50.0,bank,for free,1.0,skilled employee / official,2.0,none,yes,0.175
... >= 200 DM / salary assignments for at least 1 year,60.0,delay in paying off in the past,repairs,15945.0,A62,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.013
no checking account,4.0,delay in paying off in the past,furniture/equipment,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,3.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.748
0 <= ... < 200 DM,7.0,all credits at this bank paid back duly,furniture/equipment,276.0,A61,.. >= 7 years,1.0,female : divorced/separated/married,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,22.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.769
... < 0 DM,21.0,delay in paying off in the past,retraining,4451.0,A65,... < 1 year,2.0,male : single,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,39.0,stores,for free,4.0,unskilled - resident,1.0,none,yes,0.813
... < 0 DM,40.0,critical account/ other credits existing (not at this bank),furniture/equipment,9364.0,A61,.. >= 7 years,4.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.754
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,furniture/equipment,15945.0,A65,1 <= ... < 4 years,2.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,41.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.819
... < 0 DM,4.0,existing credits paid back duly till now,car (used),276.0,A61,4 <= ... < 7 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.08
no checking account,8.0,no credits taken/ all credits paid back duly,repairs,276.0,A64,.. >= 7 years,3.0,male : single,none,1.0,real estate,19.0,none,own,1.0,skilled employee / official,2.0,none,no,0.182
... >= 200 DM / salary assignments for at least 1 year,26.0,critical account/ other credits existing (not at this bank),radio/television,5549.0,A62,unemployed,4.0,male : single,none,2.0,real estate,29.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.061
... < 0 DM,42.0,existing credits paid back duly till now,car (used),9771.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,co-applicant,3.0,unknown / no property,46.0,none,own,1.0,skilled employee / official,2.0,none,yes,0.115
no checking account,60.0,existing credits paid back duly till now,car (new),15945.0,A62,4 <= ... < 7 years,4.0,male : single,none,4.0,real estate,75.0,stores,own,1.0,skilled employee / official,2.0,none,no,0.112
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.015
... < 0 DM,24.0,no credits taken/ all credits paid back duly,business,6191.0,A61,.. >= 7 years,1.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",no,0.214
... >= 200 DM / salary assignments for at least 1 year,45.0,no credits taken/ all credits paid back duly,repairs,12192.0,A64,unemployed,2.0,male : single,none,4.0,real estate,21.0,stores,rent,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.094
... < 0 DM,60.0,critical account/ other credits existing (not at this bank),business,15945.0,A61,.. >= 7 years,3.0,male : married/widowed,co-applicant,4.0,"if not A121/A122 : car or other, not in attribute 6",45.0,stores,rent,1.0,skilled employee / official,2.0,none,yes,0.135
no checking account,60.0,no credits taken/ all credits paid back duly,business,15945.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,75.0,bank,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.028
... < 0 DM,11.0,no credits taken/ all credits paid back duly,radio/television,2202.0,A62,.. >= 7 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",yes,0.026
no checking account,4.0,critical account/ other credits existing (not at this bank),business,276.0,A61,unemployed,4.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",31.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,no,0.1
no checking account,29.0,critical account/ other credits existing (not at this bank),business,7107.0,A61,unemployed,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",59.0,stores,own,3.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.1
no checking account,60.0,existing credits paid back duly till now,business,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.247
... >= 200 DM / salary assignments for at least 1 year,48.0,critical account/ other credits existing (not at this bank),business,12248.0,A61,unemployed,3.0,male : married/widowed,co-applicant,4.0,unknown / no property,73.0,bank,own,2.0,unskilled - resident,2.0,none,no,0.027
no checking account,29.0,critical account/ other credits existing (not at this bank),business,7106.0,A61,unemployed,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",59.0,stores,own,3.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.1
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,radio/television,276.0,A62,unemployed,1.0,male : single,co-applicant,1.0,real estate,19.0,bank,own,1.0,skilled employee / official,2.0,none,yes,0.043
... >= 200 DM / salary assignments for at least 1 year,16.0,critical account/ other credits existing (not at this bank),others,385.0,A61,.. >= 7 years,4.0,female : divorced/separated/married,guarantor,2.0,"if not A121/A122 : car or other, not in attribute 6",31.0,stores,own,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.245
... >= 200 DM / salary assignments for at least 1 year,60.0,no credits taken/ all credits paid back duly,repairs,13690.0,A62,1 <= ... < 4 years,1.0,female : divorced/separated/married,co-applicant,1.0,unknown / no property,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.039
... < 0 DM,34.0,existing credits paid back duly till now,radio/television,5610.0,A61,unemployed,4.0,male : married/widowed,none,3.0,"if not A121/A122 : car or other, not in attribute 6",54.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.101
... < 0 DM,60.0,existing credits paid back duly till now,car (used),15945.0,A61,unemployed,4.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.116
0 <= ... < 200 DM,4.0,delay in paying off in the past,car (new),276.0,A65,... < 1 year,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.751
no checking account,7.0,all credits at this bank paid back duly,business,276.0,A63,1 <= ... < 4 years,1.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",30.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.781
... >= 200 DM / salary assignments for at least 1 year,31.0,delay in paying off in the past,retraining,276.0,A64,... < 1 year,2.0,male : divorced/separated,guarantor,4.0,real estate,58.0,stores,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.755
no checking account,49.0,critical account/ other credits existing (not at this bank),car (new),6941.0,A64,1 <= ... < 4 years,3.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.776
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,retraining,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,40.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.8
... < 0 DM,4.0,existing credits paid back duly till now,radio/television,276.0,A62,.. >= 7 years,2.0,male : single,guarantor,2.0,real estate,19.0,bank,own,1.0,unskilled - resident,2.0,none,yes,0.06
no checking account,20.0,existing credits paid back duly till now,car (used),4152.0,A63,.. >= 7 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",19.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.14
no checking account,30.0,critical account/ other credits existing (not at this bank),repairs,15945.0,A61,unemployed,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.03
... < 0 DM,54.0,existing credits paid back duly till now,radio/television,9171.0,A65,unemployed,4.0,male : married/widowed,none,4.0,real estate,45.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.083
0 <= ... < 200 DM,60.0,no credits taken/ all credits paid back duly,car (used),15945.0,A64,.. >= 7 years,4.0,male : single,co-applicant,4.0,unknown / no property,75.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.011
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,business,276.0,A62,1 <= ... < 4 years,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.058
no checking account,15.0,critical account/ other credits existing (not at this bank),others,15945.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.317
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,business,15945.0,A61,unemployed,2.0,male : single,none,2.0,"if not A121/A122 : car or other, not in attribute 6",21.0,none,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.263
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),15945.0,A62,1 <= ... < 4 years,4.0,male : married/widowed,none,4.0,"if not A121/A122 : car or other, not in attribute 6",52.0,none,rent,1.0,skilled employee / official,2.0,"yes, registered under the customers name",no,0.226
no checking account,60.0,delay in paying off in the past,business,9553.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.26
no checking account,60.0,no credits taken/ all credits paid back duly,car (used),6288.0,A62,unemployed,3.0,male : single,co-applicant,3.0,unknown / no property,33.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.036
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,education,13302.0,A61,1 <= ... < 4 years,4.0,male : married/widowed,co-applicant,4.0,real estate,50.0,bank,for free,1.0,skilled employee / official,2.0,none,yes,0.175
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.864
... < 0 DM,5.0,all credits at this bank paid back duly,furniture/equipment,276.0,A65,1 <= ... < 4 years,2.0,male : single,guarantor,3.0,"if not A121/A122 : car or other, not in attribute 6",31.0,none,rent,2.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.742
0 <= ... < 200 DM,21.0,delay in paying off in the past,retraining,4003.0,A63,4 <= ... < 7 years,3.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",45.0,none,own,3.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.791
... < 0 DM,41.0,existing credits paid back duly till now,furniture/equipment,9358.0,A65,... < 1 year,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.876
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,furniture/equipment,15945.0,A65,4 <= ... < 7 years,3.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",51.0,none,rent,4.0,skilled employee / official,1.0,none,no,0.798
... < 0 DM,23.0,delay in paying off in the past,domestic appliances,1203.0,A61,.. >= 7 years,4.0,male : single,none,2.0,real estate,19.0,bank,rent,1.0,unemployed/ unskilled - non-resident,2.0,none,yes,0.125
no checking account,18.0,critical account/ other credits existing (not at this bank),others,15945.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.146
... < 0 DM,60.0,delay in paying off in the past,business,9531.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,own,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.313
0 <= ... < 200 DM,19.0,existing credits paid back duly till now,radio/television,7107.0,A61,unemployed,4.0,male : married/widowed,none,4.0,"if not A121/A122 : car or other, not in attribute 6",28.0,stores,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.138
... >= 200 DM / salary assignments for at least 1 year,46.0,existing credits paid back duly till now,repairs,11669.0,A62,... < 1 year,4.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,4.0,skilled employee / official,2.0,none,yes,0.297
0 <= ... < 200 DM,16.0,critical account/ other credits existing (not at this bank),business,276.0,A61,1 <= ... < 4 years,3.0,male : single,none,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.123
no checking account,37.0,all credits at this bank paid back duly,car (used),5873.0,A63,.. >= 7 years,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.274
